task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy,experiment_elapsed_time
sequence-classification,mldoc,josecannete/albert-base-spanish-2,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,64,0.0,1.0,kldiv,33,0.14241170964669436,0.963,1382.0553348064423
sequence-classification,mldoc,josecannete/albert-base-spanish-2,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,32,0.0,1.0,kldiv,32,0.14461310737533495,0.965,1318.1176867485046
sequence-classification,mldoc,josecannete/albert-base-spanish-2,CenIA/roberta-large-bne-finetuned-mldoc,5e-05,16,0.0,1.0,kldiv,31,0.14795730707959998,0.963,1259.1203217506409
sequence-classification,mldoc,josecannete/albert-base-spanish-2,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,64,0.0,1.0,kldiv,28,0.13310481328517199,0.964,1182.654150724411
sequence-classification,mldoc,josecannete/albert-base-spanish-2,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,32,0.0,1.0,kldiv,26,0.15210895735071972,0.96,1092.3570115566254
sequence-classification,mldoc,josecannete/albert-base-spanish-2,CenIA/roberta-large-bne-finetuned-mldoc,0.0001,16,0.0,1.0,kldiv,19,0.16028994354345497,0.958,810.0195910930634
sequence-classification,pawsx,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,64,0.0,1.0,kldiv,13,0.5160024864599109,0.7505,787.193222284317
sequence-classification,pawsx,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,32,0.0,1.0,kldiv,13,0.5122953544533442,0.752,717.7103259563446
sequence-classification,pawsx,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,16,0.0,1.0,kldiv,13,0.47573726558685303,0.773,787.5376493930817
sequence-classification,pawsx,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,64,0.0,1.0,kldiv,13,0.4926996724680066,0.77,784.2877521514893
sequence-classification,pawsx,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,32,0.0,1.0,kldiv,14,0.5221057061165099,0.7535,765.7831284999847
sequence-classification,pawsx,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,16,0.0,1.0,kldiv,14,0.487065834403038,0.774,841.9207236766815
sequence-classification,xnli,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,64,0.0,1.0,kldiv,13,0.6456380547621311,0.7269076305220884,17582.406279802322
sequence-classification,xnli,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,32,0.0,1.0,kldiv,34,0.6004672982753851,0.7497991967871486,24349.058752059937
sequence-classification,xnli,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-xnli,5e-05,16,0.0,1.0,kldiv,47,0.6100768839032986,0.7477911646586345,30400.34336590767
sequence-classification,xnli,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,64,0.0,1.0,kldiv,36,0.6278592493289556,0.7385542168674699,16904.771743535995
sequence-classification,xnli,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,32,0.0,1.0,kldiv,13,0.6432592016764176,0.7317269076305221,5426.231382369995
sequence-classification,xnli,josecannete/albert-base-spanish-2,CenIA/albert-xxlarge-spanish-finetuned-xnli,0.0001,16,0.0,1.0,kldiv,25,0.6588917450549511,0.7257028112449799,11254.692078351974
