task_type,dataset_id,student_model_name_or_path,teacher_model_name_or_path,learning_rate,batch_size,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_precision,validation_recall,validation_f1,validation_accuracy,experiment_elapsed_time
token-classification,pos,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-pos,5e-05,16,0.0,1.0,kldiv,13,0.08122600170855339,0.9747671973565636,0.9736947389477896,0.9742306730047535,0.9771857325131877,426.62239503860474
token-classification,pos,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-pos,5e-05,32,0.0,1.0,kldiv,14,0.08607086539268494,0.9730736867411949,0.9715943188637728,0.9723334401024984,0.9757003294547809,342.9864692687988
token-classification,pos,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-pos,5e-05,64,0.0,1.0,kldiv,15,0.09067046499023071,0.9725149244761409,0.9711142228445689,0.9718140689434279,0.9751671078440708,340.16121888160706
token-classification,pos,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-pos,0.0001,16,0.0,1.0,kldiv,13,0.08428523483542869,0.9737928270887598,0.9722344468893779,0.973013013013013,0.9757955475995506,407.7406551837921
token-classification,pos,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-pos,0.0001,32,0.0,1.0,kldiv,14,0.0779422683139833,0.9763582495896225,0.9756551310262053,0.9760065636756584,0.9786140046847327,358.47912645339966
token-classification,pos,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-pos,0.0001,64,0.0,1.0,kldiv,14,0.08092881954060151,0.975285665686098,0.9749149829965993,0.9751002891127539,0.9779855649292529,344.3345785140991
token-classification,ner,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-ner,5e-05,16,0.0,1.0,kldiv,14,0.14036289531116683,0.7253256789578273,0.7560414269275029,0.7403651115618661,0.9599039661234829,422.60643768310547
token-classification,ner,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-ner,5e-05,32,0.0,1.0,kldiv,15,0.139531104080379,0.7007591733445804,0.7647871116225546,0.7313744910311434,0.9577488751937692,404.9610381126404
token-classification,ner,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-ner,5e-05,64,0.0,1.0,kldiv,16,0.13886920859416327,0.6929917425365234,0.7532796317606444,0.7218791354212615,0.9576543536617641,392.75865745544434
token-classification,ner,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-ner,0.0001,16,0.0,1.0,kldiv,14,0.1410317650142436,0.7388619320688135,0.7710011507479861,0.7545894807973871,0.9606412340731219,389.7557191848755
token-classification,ner,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-ner,0.0001,32,0.0,1.0,kldiv,14,0.13900787072877088,0.7208450097003665,0.769620253164557,0.744434550311665,0.9604521910091118,334.74191975593567
token-classification,ner,CenIA/albert-tiny-spanish,CenIA/roberta-base-bne-finetuned-ner,0.0001,64,0.0,1.0,kldiv,15,0.1437653621037801,0.7147127909459748,0.7703107019562716,0.7414709791758972,0.9575220235169571,367.07101798057556
