teacher_model_name_or_path,learning_rate,kd_alpha,kd_temperature,kd_loss_type,completed_epochs,validation_loss,validation_accuracy
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,31,0.4732113345526159,0.826
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,20,0.2906951173208654,0.887
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,26,0.26777882874011993,0.902
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,47,0.26414951123297215,0.901
CenIA/albert-base-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,18,0.28388466592878103,0.8905
CenIA/albert-base-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,27,0.2773085245862603,0.888
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,mse,28,0.3032965320162475,0.902
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,mse,31,0.3020753716118634,0.896
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,ce,22,0.2852919346187264,0.8945
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,ce,36,0.297046520980075,0.8915
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,0.0001,0.0,1.0,kldiv,21,0.29377313680015504,0.8925
CenIA/bert-base-spanish-wwm-cased-finetuned-pawsx,5e-05,0.0,1.0,kldiv,23,0.30582915944978595,0.885
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,mse,14,0.7639088071882725,0.5765
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,mse,49,0.27235872065648437,0.8985
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,ce,33,0.2791198347695172,0.8835
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,ce,32,0.26698441011831164,0.89
CenIA/roberta-large-bne-finetuned-pawsx,0.0001,0.0,1.0,kldiv,28,0.2841037968173623,0.891
CenIA/roberta-large-bne-finetuned-pawsx,5e-05,0.0,1.0,kldiv,50,0.2609739147592336,0.8915
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,mse,38,0.2684823521412909,0.903
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,mse,27,0.27751586120575666,0.8925
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,ce,24,0.36035791831091046,0.8505
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,ce,29,0.27134965267032385,0.8975
CenIA/albert-xxlarge-spanish-finetuned-pawsx,0.0001,0.0,1.0,kldiv,22,0.27851967979222536,0.883
CenIA/albert-xxlarge-spanish-finetuned-pawsx,5e-05,0.0,1.0,kldiv,24,0.2755657406523824,0.8905
